"Gemeinde"	"absPov0"	"absPov1"	"relPov0"	"relPov1"	"pov_rel_municip0"	"pov_rel_municip1"	"relPov"	"pov_rel_municip"	"absPov"	"nHH"
577	162	12	149	25	153	21	0.14367816091954	0.120689655172414	0.0689655172413793	174
578	115	12	110	17	111	16	0.133858267716535	0.125984251968504	0.094488188976378	127
579	220	24	185	59	218	26	0.241803278688525	0.10655737704918	0.0983606557377049	244
580	207	14	198	23	198	23	0.104072398190045	0.104072398190045	0.0633484162895928	221
581	2199	305	2045	459	2135	369	0.183306709265176	0.147364217252396	0.121805111821086	2504
582	184	16	170	30	174	26	0.15	0.13	0.08	200
584	945	103	889	159	898	150	0.151717557251908	0.143129770992366	0.0982824427480916	1048
585	388	32	371	49	358	62	0.116666666666667	0.147619047619048	0.0761904761904762	420
586	86	11	80	17	86	11	0.175257731958763	0.11340206185567	0.11340206185567	97
587	1498	123	1411	210	1422	199	0.12954966070327	0.122763726095003	0.0758790869833436	1621
588	157	14	151	20	152	19	0.116959064327485	0.111111111111111	0.0818713450292398	171
589	195	28	187	36	189	34	0.161434977578475	0.152466367713004	0.125560538116592	223
590	1056	112	989	179	986	182	0.153253424657534	0.155821917808219	0.0958904109589041	1168
591	43	8	33	18	46	5	0.352941176470588	0.0980392156862745	0.156862745098039	51
592	241	20	230	31	225	36	0.118773946360153	0.137931034482759	0.0766283524904215	261
593	2345	204	2215	334	2192	357	0.131031777167517	0.140054923499412	0.0800313848568066	2549
594	1019	86	964	141	964	141	0.127601809954751	0.127601809954751	0.0778280542986425	1105
602	355	20	331	44	338	37	0.117333333333333	0.0986666666666667	0.0533333333333333	375
603	680	46	640	86	633	93	0.118457300275482	0.128099173553719	0.0633608815426997	726
604	139	7	126	20	132	14	0.136986301369863	0.0958904109589041	0.0479452054794521	146
605	526	31	475	82	489	68	0.14721723518851	0.122082585278276	0.0556552962298025	557
606	210	9	204	15	194	25	0.0684931506849315	0.114155251141553	0.0410958904109589	219
607	174	6	163	17	158	22	0.0944444444444444	0.122222222222222	0.0333333333333333	180
608	1237	75	1193	119	1160	152	0.0907012195121951	0.115853658536585	0.0571646341463415	1312
609	89	2	83	8	83	8	0.0879120879120879	0.0879120879120879	0.021978021978022	91
610	196	16	183	29	183	29	0.136792452830189	0.136792452830189	0.0754716981132075	212
611	343	14	325	32	314	43	0.0896358543417367	0.120448179271709	0.0392156862745098	357
612	1913	119	1812	220	1772	260	0.108267716535433	0.127952755905512	0.0585629921259843	2032
613	230	22	189	63	226	26	0.25	0.103174603174603	0.0873015873015873	252
614	440	30	389	81	417	53	0.172340425531915	0.112765957446809	0.0638297872340425	470
615	225	3	211	17	194	34	0.0745614035087719	0.149122807017544	0.0131578947368421	228
616	4438	286	4270	454	4109	615	0.0961049957662997	0.130186282811177	0.0605419136325148	4724
617	236	11	220	27	216	31	0.109311740890688	0.125506072874494	0.0445344129554656	247
619	1171	64	1106	129	1074	161	0.104453441295547	0.130364372469636	0.0518218623481781	1235
620	295	18	270	43	278	35	0.137380191693291	0.111821086261981	0.0575079872204473	313
622	238	20	233	25	233	25	0.0968992248062016	0.0968992248062016	0.0775193798449612	258
623	1192	50	1163	79	1089	153	0.0636070853462158	0.123188405797101	0.0402576489533011	1242
624	248	5	236	17	232	21	0.0671936758893281	0.08300395256917	0.0197628458498024	253
625	144	5	138	11	129	20	0.0738255033557047	0.134228187919463	0.0335570469798658	149
626	668	56	619	105	630	94	0.145027624309392	0.129834254143646	0.0773480662983425	724
627	4508	379	4266	621	4217	670	0.12707182320442	0.137098424391242	0.0775526908123593	4887
628	631	39	597	73	592	78	0.108955223880597	0.116417910447761	0.0582089552238806	670
629	116	7	105	18	111	12	0.146341463414634	0.0975609756097561	0.0569105691056911	123
630	197	4	182	19	172	29	0.0945273631840796	0.144278606965174	0.0199004975124378	201
631	192	4	185	11	177	19	0.0561224489795918	0.0969387755102041	0.0204081632653061	196
632	1641	80	1588	133	1527	194	0.0772806507844277	0.112725159790819	0.0464846019755956	1721
661	18	1	14	5	16	3				19
662	495	23	474	44	450	68	0.0849420849420849	0.131274131274131	0.0444015444015444	518
663	522	21	504	39	479	64	0.0718232044198895	0.117863720073665	0.0386740331491713	543
664	121	5	107	19	104	22	0.150793650793651	0.174603174603175	0.0396825396825397	126
665	89	3	83	9	80	12	0.0978260869565217	0.130434782608696	0.0326086956521739	92
666	154	11	146	19	144	21	0.115151515151515	0.127272727272727	0.0666666666666667	165
667	1124	108	1067	165	1033	199	0.133928571428571	0.161525974025974	0.0876623376623377	1232
668	1141	50	1099	92	1056	135	0.0772460117548279	0.113350125944584	0.0419815281276238	1191
669	165	17	166	16	160	22	0.0879120879120879	0.120879120879121	0.0934065934065934	182
670	1951	139	1880	210	1824	266	0.100478468899522	0.127272727272727	0.0665071770334928	2090
671	132	8	123	17	120	20	0.121428571428571	0.142857142857143	0.0571428571428571	140
681	112	7	108	11	106	13	0.092436974789916	0.109243697478992	0.0588235294117647	119
682	347	67	304	110	343	71	0.265700483091787	0.171497584541063	0.161835748792271	414
683	49	5	48	6	48	6	0.111111111111111	0.111111111111111	0.0925925925925926	54
684	32	5	30	7	33	4				37
687	77	9	71	15	75	11	0.174418604651163	0.127906976744186	0.104651162790698	86
690	483	57	452	88	455	85	0.162962962962963	0.157407407407407	0.105555555555556	540
691	207	19	193	33	197	29	0.146017699115044	0.128318584070796	0.084070796460177	226
692	137	9	123	23	127	19	0.157534246575342	0.13013698630137	0.0616438356164384	146
694	132	8	119	21	123	17	0.15	0.121428571428571	0.0571428571428571	140
696	126	6	125	7	125	7	0.053030303030303	0.053030303030303	0.0454545454545455	132
697	673	92	607	158	624	141	0.206535947712418	0.184313725490196	0.120261437908497	765
699	0	2	0	2	1	1				2
700	2708	516	2470	754	2681	543	0.233870967741935	0.168424317617866	0.160049627791563	3224
701	173	13	156	30	160	26	0.161290322580645	0.139784946236559	0.0698924731182796	186
702	80	9	78	11	79	10	0.123595505617978	0.112359550561798	0.101123595505618	89
703	851	101	776	176	811	141	0.184873949579832	0.148109243697479	0.10609243697479	952
704	43	14	32	25	40	17	0.43859649122807	0.298245614035088	0.245614035087719	57
706	221	25	209	37	210	36	0.150406504065041	0.146341463414634	0.101626016260163	246
707	59	4	53	10	56	7	0.158730158730159	0.111111111111111	0.0634920634920635	63
708	9	2	3	8	11	0				11
709	17	3	11	9	17	3				20
710	44	2	42	4	42	4				46
711	108	14	97	25	105	17	0.204918032786885	0.139344262295082	0.114754098360656	122
712	45	2	41	6	40	7				47
713	1261	264	1133	392	1232	293	0.257049180327869	0.192131147540984	0.173114754098361	1525
715	15	0	11	4	14	1				15
721	109	19	103	25	103	25	0.1953125	0.1953125	0.1484375	128
722	153	36	138	51	151	38	0.26984126984127	0.201058201058201	0.19047619047619	189
723	1282	138	1221	199	1194	226	0.140140845070423	0.159154929577465	0.0971830985915493	1420
724	284	16	262	38	255	45	0.126666666666667	0.15	0.0533333333333333	300
725	344	21	325	40	313	52	0.10958904109589	0.142465753424658	0.0575342465753425	365
731	704	76	678	102	665	115	0.130769230769231	0.147435897435897	0.0974358974358974	780
732	549	20	534	35	493	76	0.0615114235500879	0.133567662565905	0.0351493848857645	569
733	1630	287	1521	396	1583	334	0.206572769953052	0.174230568596766	0.149713093375065	1917
734	175	2	165	12	161	16	0.0677966101694915	0.0903954802259887	0.0112994350282486	177
735	121	6	112	15	110	17	0.118110236220472	0.133858267716535	0.047244094488189	127
736	167	3	163	7	154	16	0.0411764705882353	0.0941176470588235	0.0176470588235294	170
737	104	7	99	12	99	12	0.108108108108108	0.108108108108108	0.0630630630630631	111
738	252	10	247	15	228	34	0.0572519083969466	0.129770992366412	0.0381679389312977	262
739	1602	97	1549	150	1503	196	0.0882872277810477	0.115361977633902	0.0570924072984108	1699
740	237	10	226	21	217	30	0.0850202429149798	0.121457489878543	0.0404858299595142	247
741	170	3	165	8	148	25	0.046242774566474	0.144508670520231	0.0173410404624277	173
742	351	12	346	17	317	46	0.046831955922865	0.126721763085399	0.0330578512396694	363
743	2720	503	2460	763	2696	527	0.236735960285448	0.163512255662426	0.156065777226187	3223
744	1040	113	992	161	990	163	0.139635732870772	0.141370338248049	0.0980052038161318	1153
745	1382	72	1317	137	1258	196	0.094222833562586	0.134800550206327	0.0495185694635488	1454
746	710	54	686	78	655	109	0.102094240837696	0.142670157068063	0.0706806282722513	764
747	175	7	167	15	163	19	0.0824175824175824	0.104395604395604	0.0384615384615385	182
748	254	22	241	35	238	38	0.126811594202899	0.13768115942029	0.0797101449275362	276
749	1154	90	1104	140	1081	163	0.112540192926045	0.131028938906752	0.0723472668810289	1244
750	549	30	530	49	502	77	0.0846286701208981	0.132987910189983	0.0518134715025907	579
751	1100	47	1056	91	1012	135	0.0793374019180471	0.117698343504795	0.040976460331299	1147
754	364	17	342	39	326	55	0.102362204724409	0.144356955380577	0.0446194225721785	381
755	883	59	840	102	811	131	0.10828025477707	0.139065817409766	0.0626326963906582	942
756	472	37	452	57	441	68	0.111984282907662	0.133595284872299	0.0726915520628684	509
761	331	16	289	58	300	47	0.167146974063401	0.135446685878963	0.0461095100864553	347
762	810	89	686	213	761	138	0.236929922135706	0.153503893214683	0.0989988876529477	899
763	659	60	611	108	626	93	0.150208623087622	0.129346314325452	0.0834492350486787	719
764	102	5	93	14	91	16	0.130841121495327	0.149532710280374	0.0467289719626168	107
765	107	8	101	14	101	14	0.121739130434783	0.121739130434783	0.0695652173913043	115
766	302	18	245	75	289	31	0.234375	0.096875	0.05625	320
767	391	31	367	55	367	55	0.130331753554502	0.130331753554502	0.0734597156398104	422
768	5166	416	4961	621	4827	755	0.111250447868148	0.135256180580437	0.0745252597635256	5582
769	964	64	902	126	894	134	0.122568093385214	0.130350194552529	0.0622568093385214	1028
781	94	11	79	26	87	18	0.247619047619048	0.171428571428571	0.104761904761905	105
782	114	6	107	13	109	11	0.108333333333333	0.0916666666666667	0.05	120
783	422	34	384	72	398	58	0.157894736842105	0.12719298245614	0.0745614035087719	456
784	323	25	291	57	295	53	0.163793103448276	0.152298850574713	0.0718390804597701	348
785	1831	148	1704	275	1706	273	0.138959070237494	0.137948458817585	0.0747852450732693	1979
786	217	17	198	36	202	32	0.153846153846154	0.136752136752137	0.0726495726495727	234
791	509	55	445	119	493	71	0.210992907801418	0.125886524822695	0.0975177304964539	564
792	920	70	844	146	866	124	0.147474747474747	0.125252525252525	0.0707070707070707	990
793	492	36	436	92	469	59	0.174242424242424	0.111742424242424	0.0681818181818182	528
794	1196	71	1113	154	1125	142	0.121546961325967	0.112075769534333	0.0560378847671665	1267
841	399	28	359	68	370	57	0.159250585480094	0.133489461358314	0.0655737704918033	427
842	292	18	258	52	268	42	0.167741935483871	0.135483870967742	0.0580645161290323	310
843	2462	184	2292	354	2232	414	0.133786848072562	0.156462585034014	0.0695389266817838	2646
852	538	56	471	123	516	78	0.207070707070707	0.131313131313131	0.0942760942760943	594
853	658	62	602	118	613	107	0.163888888888889	0.148611111111111	0.0861111111111111	720
855	2641	185	2445	381	2438	388	0.134819532908705	0.137296532200991	0.0654635527246992	2826
861	4462	294	4285	471	4146	610	0.0990328006728343	0.128259041211102	0.0618166526492851	4756
863	391	18	366	43	360	49	0.105134474327628	0.119804400977995	0.0440097799511002	409
865	119	4	107	16	106	17	0.130081300813008	0.138211382113821	0.032520325203252	123
866	461	14	440	35	412	63	0.0736842105263158	0.132631578947368	0.0294736842105263	475
867	290	16	265	41	266	40	0.133986928104575	0.130718954248366	0.0522875816993464	306
868	99	3	93	9	90	12	0.0882352941176471	0.117647058823529	0.0294117647058824	102
869	383	18	368	33	342	59	0.0822942643391521	0.14713216957606	0.0448877805486284	401
870	1508	137	1430	215	1385	260	0.130699088145897	0.158054711246201	0.0832826747720365	1645
871	16	2	15	3	15	3				18
872	343	15	327	31	306	52	0.0865921787709497	0.145251396648045	0.0418994413407821	358
873	116	8	110	14	114	10	0.112903225806452	0.0806451612903226	0.0645161290322581	124
874	82	4	78	8	76	10	0.0930232558139535	0.116279069767442	0.0465116279069767	86
875	93	2	86	9	78	17	0.0947368421052632	0.178947368421053	0.0210526315789474	95
876	537	26	519	44	501	62	0.0781527531083481	0.1101243339254	0.0461811722912966	563
877	176	16	155	37	158	34	0.192708333333333	0.177083333333333	0.0833333333333333	192
878	101	6	93	14	93	14	0.130841121495327	0.130841121495327	0.0560747663551402	107
879	926	66	854	138	851	141	0.139112903225806	0.142137096774194	0.0665322580645161	992
880	700	59	637	122	656	103	0.160737812911726	0.13570487483531	0.077733860342556	759
881	185	5	175	15	170	20	0.0789473684210526	0.105263157894737	0.0263157894736842	190
883	841	67	807	101	783	125	0.111233480176211	0.137665198237885	0.0737885462555066	908
884	993	64	962	95	901	156	0.0898770104068117	0.147587511825922	0.0605487228003784	1057
885	718	24	684	58	661	81	0.078167115902965	0.109164420485175	0.032345013477089	742
886	1051	73	981	143	977	147	0.127224199288256	0.130782918149466	0.0649466192170818	1124
888	467	16	438	45	413	70	0.093167701863354	0.144927536231884	0.0331262939958592	483
901	884	44	761	167	830	98	0.179956896551724	0.105603448275862	0.0474137931034483	928
902	3506	264	3211	559	3287	483	0.148275862068966	0.128116710875332	0.070026525198939	3770
903	1007	87	913	181	960	134	0.1654478976234	0.122486288848263	0.0795246800731261	1094
904	400	29	349	80	386	43	0.186480186480186	0.1002331002331	0.0675990675990676	429
905	893	60	800	153	838	115	0.160545645330535	0.120671563483736	0.0629590766002099	953
906	321	22	263	80	301	42	0.233236151603499	0.122448979591837	0.0641399416909621	343
907	1038	73	928	183	982	129	0.164716471647165	0.116111611161116	0.0657065706570657	1111
908	434	40	361	113	411	63	0.238396624472574	0.132911392405063	0.0843881856540084	474
909	513	43	458	98	486	70	0.176258992805755	0.12589928057554	0.0773381294964029	556
921	307	16	288	35	280	43	0.108359133126935	0.13312693498452	0.0495356037151703	323
922	464	22	437	49	434	52	0.10082304526749	0.106995884773663	0.0452674897119342	486
923	569	20	518	71	531	58	0.120543293718166	0.098471986417657	0.033955857385399	589
924	182	23	148	57	177	28	0.278048780487805	0.136585365853659	0.11219512195122	205
925	292	11	267	36	273	30	0.118811881188119	0.099009900990099	0.0363036303630363	303
927	271	21	249	43	254	38	0.147260273972603	0.13013698630137	0.0719178082191781	292
928	2545	182	2440	287	2398	329	0.105243857719105	0.120645397873121	0.0667400073340667	2727
929	1725	133	1613	245	1527	331	0.131862217438106	0.178148546824543	0.0715823466092573	1858
930	151	24	143	32	141	34	0.182857142857143	0.194285714285714	0.137142857142857	175
931	171	13	150	34	156	28	0.184782608695652	0.152173913043478	0.0706521739130435	184
932	84	10	64	30	85	9	0.319148936170213	0.0957446808510638	0.106382978723404	94
934	1043	78	997	124	921	200	0.110615521855486	0.178412132024978	0.0695807314897413	1121
935	184	13	152	45	178	19	0.228426395939086	0.0964467005076142	0.065989847715736	197
